SEG_ID	Doc	Source	Tagged_Source	Target	MT	Tagged_Target	Error Category	Severity	Annotator_ID
7	doc88	Although the pandemic is still evolving, social inequalities are expected to intensify, with the deep retraction of the economy, and workers must be a priority target of attention in the control and spread of the disease, in addition to being the axis for planning public social and health protection policies.		Aunque la pandemia aún está evolucionando, se espera que las desigualdades sociales se intensifiquen con el profundo retroceso de la economía, y los trabajadores deben ser un objetivo de atención prioritario en el control y propagación de la enfermedad, además de ser el eje para la planificación de políticas públicas de protección social y sanitaria.					None
1	doc89	Introduction: sarcopenia is considered a risk factor for cancer patients, as it increases mortality and post-surgical complications, and reduces response to treatment and quality of life.		Introducción: la sarcopenia se considera un factor de riesgo para los pacientes con cáncer, ya que aumenta la mortalidad y las complicaciones posquirúrgicas, reduce la respuesta al tratamiento y empeora la calidad de vida.					None
2	doc89	Objective: to identify the risk of sarcopenia by SARC-CalF, as well as the factors associated with this outcome in patients with cancer of the gastrointestinal tract (GIT) and adnexal glands.		Objetivo: identificar el riesgo de sarcopenia por SARC-CalF, así como los factores asociados a este resultado en pacientes con cáncer de tubo digestivo y glándulas anexiales.					None
3	doc89	Methods: this cross-sectional study included patients with cancer of the GIT and adnexal glands, without edema or ascites, of both sexes and aged ≥ 20 years.		Métodos: este estudio transversal incluyó a pacientes con cáncer de tubo digestivo y glándulas anexiales, sin edema ni ascitis, de ambos sexos y de ≥20 años de edad.					None
4	doc89	Conventional anthropometric variables and handgrip strength (HGS) were measured.		Se midieron variables antropométricas convencionales y fuerza de prensión manual (FPM).					None
5	doc89	The risk of sarcopenia was assessed through the SARC-CalF questionnaire, and nutritional status by the Patient-Generated Subjective Global Assessment (PG-SGA).		El riesgo de sarcopenia se evaluó mediante el cuestionario SARC-CalF, y el estado nutricional mediante la Evaluación Global Subjetiva Generada por el Paciente (PG-SGA).					None
6	doc89	The data analysis was performed using the SPSS® software, 22.0, with a significance of 5 %. Results: seventy patients took part in the study.		El análisis de datos se realizó usando el software SPSS® 22.0, con una significación del 5 %. Resultados: setenta pacientes participaron en el estudio.					None
7	doc89	Of these, 55.7 % were female, 52.9 % were aged over 60 years, and 64.3 % were non-white.		De ellos, el 55,7 % eran mujeres, el 52,9 % tenían más de 60 años y el 64,3 % no eran blancos.					None
8	doc89	PG-SGA identified 50.0 % of patients as well-nourished and 50.0 % as having some degree of malnutrition.		La PG-SGA identificó al 50,0 % de los pacientes como bien nutridos y al 50,0 % con algún grado de desnutrición.					None
9	doc89	The prevalence of risk of sarcopenia was 28.6 %. There were different correlations between the SARC-CalF score and anthropometric variables (p < 0.05) according to life stage (adults and elderly).		La prevalencia del riesgo de sarcopenia fue del 28,6 %. Hubo diferentes correlaciones entre el puntaje SARC-CalF y las variables antropométricas (p < 0,05) según la etapa de vida (adultos y ancianos).					None
10	doc89	After a linear regression analysis the measures that most influenced the SARC-CalF score were arm circumference (AC) and adductor pollicis muscle thickness in the dominant hand (DAPMT) for adults, while for the elderly current weight and DAPTM (p < 0.05) were more relevant.		Tras un análisis de regresión lineal, las medidas que más influyeron en la puntuación SARC-CalF fueron la circunferencia del brazo (AC) y el grosor del músculo aductor del pulgar en la mano dominante (DAPMT) en los adultos, mientras que para los ancianos, el peso actual y el DAPTM (p < 0,05) fueron más relevantes.					None
11	doc89	Conclusion: SARC-CalF identified 28.6 % of patients at risk for sarcopenia and was associated with body weight and anthropometric variables indicative of muscle reserve in adults and the elderly.		Conclusión: el SARC-CalF identificó al 28,6 % de los pacientes con riesgo de sarcopenia, que se asoció con el peso corporal y variables antropométricas indicativas de la reserva muscular en adultos y ancianos.					None
1	doc90	The aim of this study was to review risk factors for conversion in a cohort of patients with rectal cancer undergoing minimally invasive abdominal surgery.		El objetivo de este estudio fue revisar los factores de riesgo de conversión en una cohorte de pacientes con cáncer de recto sometidos a cirugía abdominal mínimamente invasiva.					None
2	doc90	A retrospective analysis was performed of consecutive patients operated on from February 2005 to April 2018.		Se realizó un análisis retrospectivo de pacientes consecutivos operados desde febrero de 2005 hasta abril de 2018.					None
3	doc90	Adult patients undergoing low anterior resection or abdominoperineal resection for primary rectal adenocarcinoma by a minimally invasive approach were included.		Se incluyeron pacientes adultos sometidos a resección anterior baja o a resección abdominoperineal por adenocarcinoma rectal primario mediante un abordaje mínimamente invasivo.					None
4	doc90	Exclusion criteria were lack of research authorization, stage IV or recurrent rectal cancer, and emergency surgery.		Los criterios de exclusión fueron la falta de autorización para investigación, el cáncer de recto en estadio IV o recurrente, y la cirugía de emergencia.					None
5	doc90	Risk factors for conversion were investigated using logistic regression.		Los factores de riesgo de conversión se investigaron mediante regresión logística.					None
6	doc90	A subgroup analysis of obese patients		Análisis de subgrupos de pacientes obesos					None
7	doc90	(BMI 30 kg/m A total of 600 patients were included in the analysis.		(IMC 30 kg/m). Se incluyó en el análisis a un total de 600 pacientes.					None
8	doc90	The overall conversion rate was 9·2 per cent.		La tasa de conversión general fue del 9,2 por ciento.					None
9	doc90	Multivariable analysis showed a 72 per cent lower risk of conversion when patients had robotic surgery (odds ratio (OR) 0·28, 95 per cent c.i. 0·15 to 0·52).		El análisis multivariable mostró un 72 % menos de riesgo de conversión cuando los pacientes se sometieron a cirugía robótica (cociente de probabilidades [OR] = 0,28; IC del 95 % = 0,15 a 0,52).					None
10	doc90	Obese patients experienced a threefold higher risk of conversion compared with non-obese patients (47 versus 24·4 per cent respectively; P < 0·001).		Los pacientes obesos presentaban un riesgo de conversión tres veces mayor en comparación con los no obesos (47 % frente al 24,4 %, respectivamente; P < 0,001).					None
11	doc90	Robotic surgery was associated with a reduced risk of conversion in obese patients (OR 0·22, 0·07 to 0·71).		La cirugía robótica se asoció a un menor riesgo de conversión en pacientes obesos (OR = 0,22; 0,07 a 0,71).					None
12	doc90	Robotic surgery was associated with a lower risk of conversion in patients undergoing minimally invasive rectal cancer surgery, in both obese and non-obese patients.		La cirugía robótica se asoció a un menor riesgo de conversión en pacientes sometidos a cirugía mínimamente invasiva de cáncer de recto, tanto en pacientes obesos como en no obesos.					None
1	doc91	Safety positive performance indicators (PPI) reflect key aspects of safety culture; some of them also have predictive validity for occupational injuries.		Los indicadores de desempeño positivo (PPI) en materia de seguridad reflejan aspectos clave de la cultura de seguridad; algunos de ellos también tienen validez de predicción para las lesiones laborales.					None
2	doc91	This is the case of the Organizational Performance Metric (OPM), developed by the Canadian Institute for Work & Health (IWH), a short, widely validated international English language questionnaire.		Este es el caso de la Métrica de Desempeño Organizacional (OPM), desarrollada por el Canadian Institute for Work & Health (IWH), un breve cuestionario internacional en idioma inglés ampliamente validado.					None
3	doc91	The objective of this study was to obtain a transculturally adapted Spanish language version ofthe OPM, and to analyze its statistical reliability, validity and internal consistency.		El objetivo de este estudio fue obtener una versión en español adaptada transculturalmente de la OPM y analizar su fiabilidad estadística, validez y consistencia interna.					None
4	doc91	After a translation and back translation process was performed by an expert panel, 478 questionnaires were completed in Navarra, Spain.		Después de un proceso de traducción y retrotraducción realizado por un panel de expertos, se completaron 478 cuestionarios en Navarra, España.					None
5	doc91	We calculated the Cronbach alpha coefficient, bivariate correlations and the intra-class correlation coefficient (ICC) and performed exploratory factorial analysis of all eight items.		Calculamos el coeficiente alfa de Cronbach, las correlaciones bivariadas y el coeficiente de correlación intraclase (CCI) y realizamos un análisis factorial exploratorio de los ocho elementos.					None
6	doc91	Data show the new tool has high reliability (Cronbach alpha==0.863) and internal validity (ICC=0.842).		Los datos muestran que la nueva herramienta tiene una alta fiabilidad (alfa de Cronbach = 0,863) y validez interna (CCI = 0,842).					None
7	doc91	The factorial analysis confirmed a single latent factor among the eight items of the questionnaire. the adapted questionnaire (OPM-Esp) constitutes a valid instrument for use as an indicator of safety performance in Spanish companies.		El análisis factorial confirmó un único factor latente entre los ocho elementos del cuestionario. El cuestionario adaptado (OPM-Esp) constituye un instrumento válido para su uso como indicador del desempeño de seguridad en las empresas españolas.					None
8	doc91	Its brevity and simplicity make it especially useful in the work environment.		Su brevedad y sencillez la hacen especialmente útil en el entorno laboral.					None
9	doc91	Its ability to predict occupational injuries should be tested in the Spanish context.		Su capacidad para predecir lesiones laborales debe ponerse a prueba en el contexto español.					None
1	doc92	The identification of atrial fibrillation in older patients who come to Primary Care consultations is a topic of interest that has been scarcely studied.		La identificación de la fibrilación auricular en pacientes mayores que acuden a consulta de atención primaria es un tema de interés poco estudiado.					None
2	doc92	The objective of this work was to estimate the frequency of new cases of atrial fibrillation and to analyze the clinical-epidemiological characteristics of patients 65 years of age or older, detected in Primary Care in Spain.		El objetivo de este trabajo fue estimar la frecuencia de nuevos casos de fibrilación auricular y analizar las características clínico-epidemiológicas de los pacientes de 65 años o más, detectados en la etapa de atención primaria en España.					None
3	doc92	An observational, descriptive, national, multicenter study was carried out in 48 health centers, in which 218 doctors and 101 Primary Care nurses recruited 7,068 patients, who underwent an arterial pulse and an electrocardiogram. in case of being abnormal or doubtful, determining the presence of atrial fibrillation and other rhythm disorders, symptoms and signs compatible with atrial fibrillation and comorbidity and cardiovascular risk factors.		Se realizó un estudio observacional, descriptivo, nacional y multicéntrico en 48 centros de salud, en el que 218 médicos y 101 enfermeros de atención primaria reclutaron a 7068 pacientes, a los que se les realizó una prueba de pulso arterial y un electrocardiograma. En caso de que estos fueran anormales o dudosos, esto determinaba la presencia de fibrilación auricular y otros trastornos del ritmo cardíaco, síntomas y signos compatibles con fibrilación auricular, y factores de riesgo cardiovascular y de comorbilidad.					None
4	doc92	A univariate, bivariate and multivariate analysis (multiple logistic regression) was performed.		Se realizó un análisis univariado, bivariado y multivariado (regresión logística múltiple).					None
5	doc92	The patients had a mean age of 74.41±6.78 (DT) years.		Los pacientes tenían una edad media de 74,41 ± 6,78 (DT) años.					None
6	doc92	2.3% presented atrial fibrilation (95% CI: 2.0-2.7), being its frequency higher in men (2.9%; p<0.001), and as age increased (p<0.001).		El 2,3 % presentó fibrilación auricular (IC del 95 % = 2,0-2,7), cuya frecuencia era mayor en los hombres (2,9 %; p < 0,001) y aumentaba con la edad (p < 0,001).					None
7	doc92	The most frequent symptoms present among patients with atrial fibrillation were palpitations (Odds Ratio -OR-=3.50; 95% CI: 2.28-5.37), dyspnea (OR=2.71; 95% CI: 1.87-3.90), general discomfort (OR=2.32, 95% CI: 1.15-4.63), and dizziness (OR=1.80, 95% CI: 1.20-3.51).		Los síntomas más frecuentes presentes entre los pacientes con fibrilación auricular fueron palpitaciones (cociente de probabilidades [OR] = 3,50; IC del 95 % = 2,28-5,37), disnea (OR = 2,71; IC del 95 % = 1,87-3,90), malestar general (OR = 2,32; IC del 95 % = 1,15-4,63) y mareos (OR = 1,80; IC del 95 % = 1,20-3,51).					None
8	doc92	The 21.8% were asymptomatic.		El 21,8 % era asintomático.		El 21,8 % <tag>era</tag> asintomático.	Linguistic Conventions - Grammar	Major	None
9	doc92	The frequency of new cases of atrial fibrillation in the Spanish population of 65 years or older is high, being higher in men and increasing with age.		La frecuencia de nuevos casos de fibrilación auricular en la población española de 65 años o más es alta, es mayor en los hombres y aumenta con la edad.					None
10	doc92	Two out of ten patients are asymptomatic.		Dos de cada diez pacientes son asintomáticos.					None
11	doc92	Palpitations and dyspnea are the predominant symptoms in patients with atrial fibrillation.		Las palpitaciones y la disnea son los síntomas predominantes en los pacientes con fibrilación auricular.					None
1	doc93	Anxiety in relation to surgery is a well-known problem.		La ansiedad en relación con la cirugía es un problema bien conocido.					None
2	doc93	Melatonin offers an alternative treatment to benzodiazepines for ameliorating this condition in the preoperative and postoperative periods.		La melatonina ofrece un tratamiento alternativo a las benzodiacepinas para mejorar esta afección en los períodos preoperatorio y posoperatorio.					None
3	doc93	To assess the effects of melatonin on preoperative and postoperative anxiety compared to placebo or benzodiazepines.		Evaluar los efectos de la melatonina sobre la ansiedad preoperatoria y posoperatoria en comparación con el placebo o las benzodiacepinas.					None
4	doc93	We searched the following databases on 10 July 2020: CENTRAL, MEDLINE, Embase, CINAHL, and Web of Science.		Se realizaron búsquedas en las siguientes bases de datos el 10 de julio de 2020: CENTRAL, MEDLINE, Embase, CINAHL y Web of Science.					None
5	doc93	For ongoing trials and protocols, we searched clinicaltrials.gov and the World Health Organization (WHO) International Clinical Trials Registry Platform.		Para ver los ensayos y protocolos en curso, buscamos en clinicaltrials.gov y en la Plataforma de Registros Internacionales de Ensayos Clínicos de la Organización Mundial de la Salud (OMS).					None
6	doc93	We included randomized, placebo-controlled or standard treatment-controlled (or both) studies that evaluated the effects of preoperatively administered melatonin on preoperative or postoperative anxiety.		Incluimos estudios aleatorizados, controlados con placebo o controlados con tratamiento estándar (o ambos) en los que se evaluaban los efectos de la melatonina administrada antes de la cirugía sobre la ansiedad preoperatoria o posoperatoria.					None
7	doc93	We included adult patients of both sexes (15 to 90 years of age) undergoing any kind of surgical procedure for which it was necessary to use general, regional, or topical anaesthesia.		Se incluyeron pacientes adultos de ambos sexos (de 15 a 90 años) sometidos a cualquier tipo de procedimiento quirúrgico para el que fuera necesario utilizar anestesia general, regional o local.					None
8	doc93	One review author conducted data extraction in duplicate.		Un autor de la revisión realizó la extracción de datos por duplicado.					None
9	doc93	Data extracted included information about study design, country of origin, number of participants and demographic details, type of surgery, type of anaesthesia, intervention and dosing regimens, preoperative anxiety outcome measures, and postoperative anxiety outcome measures.		Los datos extraídos incluyeron información sobre el diseño del estudio, país de origen, cantidad de participantes y datos demográficos, tipo de cirugía, tipo de anestesia, regímenes de intervención y esquema terapéutico, medidas de los resultados de ansiedad preoperatoria y medidas de los resultados de ansiedad posoperatoria.					None
10	doc93	We included 27 randomized controlled trials (RCTs), involving 2319 participants, that assessed melatonin for treating preoperative anxiety, postoperative anxiety, or both.		Incluimos 27 ensayos controlados aleatorios (ECA), con 2319 participantes, en los que se evaluaron la melatonina para tratar la ansiedad preoperatoria, la ansiedad posoperatoria o ambas.					None
11	doc93	Twenty-four studies compared melatonin with placebo.		En veinticuatro estudios se compararon melatonina con placebo.					None
12	doc93	Eleven studies compared melatonin to a benzodiazepine (seven studies with midazolam, three studies with alprazolam, and one study with oxazepam).		En once estudios se compararon la melatonina con una benzodiacepina (siete estudios con midazolam, tres estudios con alprazolam y un estudio con oxazepam).					None
13	doc93	Other comparators in a small number of studies were gabapentin, clonidine, and pregabalin.		Otros comparadores en una pequeña cantidad de estudios fueron la gabapentina, la clonidina y la pregabalina.					None
14	doc93	No studies were judged to be at low risk of bias for all domains.		No se consideró que ningún estudio tuviera un riesgo bajo de sesgo en todos los dominios.					None
15	doc93	Most studies were judged to be at unclear risk of bias overall.		La mayoría de los estudios se consideraron con riesgo incierto de sesgo en general.					None
16	doc93	Eight studies were judged to be at high risk of bias in one or more domain, and thus, to be at high risk of bias overall.		Ocho estudios se consideraron con alto riesgo de sesgo en uno o más dominios y, por lo tanto, con alto riesgo de sesgo en general.					None
